Prepocessed_Text,True Label,Predicted Label,text_x,polarity,text_y
"the question on how to check input for validity be answer numerous time ! you just check whether the stream be in a good state . if not , you will reset the stream and ignore the character . search for question where this answer . also , do not use exception for non - exceptional case and * always * throw something derive from ` std::exception ` : once you have try to locate where an exception come from which be not derive from ` std::exception ` in a program with a few million line of code you will find it extremely helpful to look at what ` what ( ) ` return !",negative,positive,"the question on how to check input for validity be answer numerous time ! you just check whether the stream be in a good state . if not , you will reset the stream and ignore the character . search for question where this answer . also , do not use exception for non - exceptional case and * always * throw something derive from ` std::exception ` : once you have try to locate where an exception come from which be not derive from ` std::exception ` in a program with a few million line of code you will find it extremely helpful to look at what ` what ( ) ` return !",negative,"The question on how to check input for validity is answered numerous times! You just check whether the stream is in a good state. If not, you'll reset the stream and ignore the character. Search for question where this answered. Also, don't use exceptions for non-exceptional cases and *always* throw something derived from `std::exception`: once you have tried to locate where an exception came from which isn't derived from `std::exception` in a program with a few million lines of code you'll find it extremely helpful to look at what `what()` returns!"
"I would not class that a problem . if you structure thing in a meaningful way , you should be able to look at the JS , see where all the event hook be . if you be worried too much about it , you * could * set the rel attr to js , or prepent the ID with js _ , etc .",neutral,positive,"I would not class that a problem . if you structure thing in a meaningful way , you should be able to look at the JS , see where all the event hook be . if you be worried too much about it , you * could * set the rel attr to js , or prepent the ID with js _ , etc .",neutral,"I wouldn't class that a problem. If you structure things in a meaningful way, you should be able to look at the JS, see where all the event hooks are. If you're worried too much about it, you *could* set the rel attr to js, or prepent the ID with js_, etc."
"the function signature for pthread_create require a function that return . also , return from should be treat opaquely . both of these change be reflect below and compile on my machine : UPDATE : there be some other issue with your program as well . for example , it be very likely that main will exit before your thread run . you should join on your thread if you want to make sure it exit first . use raw pthread be a great way to learn about thread but can be very very painful compare to some of the pre - existing framework out there - try boost::thread or std::thread if you want to just get up and run with as little hassle as possible .",neutral,positive,"the function signature for pthread_create require a function that return . also , return from should be treat opaquely . both of these change be reflect below and compile on my machine : UPDATE : there be some other issue with your program as well . for example , it be very likely that main will exit before your thread run . you should join on your thread if you want to make sure it exit first . use raw pthread be a great way to learn about thread but can be very very painful compare to some of the pre - existing framework out there - try boost::thread or std::thread if you want to just get up and run with as little hassle as possible .",neutral,"The function signature for pthread_create requires a function that returns . Also, returned from should be treated opaquely. Both of these changes are reflected below and compile on my machine: UPDATE: There are some other issues with your program as well. For example, it's very likely that main will exit before your thread runs. You should join on your thread if you want to make sure it exits first. Using raw pthreads is a great way to learn about threads but can be very very painful compared to some of the pre-existing frameworks out there - try boost::thread or std::thread if you want to just get up and running with as little hassle as possible."
try : this should make it open as a pop - up ( unless default browser setting be different)although it be not recommend to use pop up anymore because most user find it extremely annoying . hope this help .,positive,negative,try : this should make it open as a pop - up ( unless default browser setting be different)although it be not recommend to use pop up anymore because most user find it extremely annoying . hope this help .,positive,Try: This should make it open as a pop-up (unless default browser setting are different)Although it's not recommended to use pop ups anymore because most users find it extremely annoying.Hope this helped.
I need from document object or from a DOM element ( i.e. a DIV ) to know which be its window object . in Firefox I can do : but obviously in that AWFUL browser that statement not work ! ! !,negative,positive,I need from document object or from a DOM element ( i.e. a DIV ) to know which be its window object . in Firefox I can do : but obviously in that AWFUL browser that statement not work ! ! !,negative,I need from document object or from a DOM element (i.e. a DIV) to know which is its window object. In Firefox I can do: but obviously in that AWFUL browser that statement not work!!!
"< @user > : no , I be not ask . I be scared of the answer .",negative,neutral,"< @user > : no , I be not ask . I be scared of the answer .",negative,"@sixlettervariables: No, I'm not asking. I'm scared of the answer."
-1 this be not language agnostic .,negative,neutral,-1 this be not language agnostic .,negative,-1 This isn't language agnostic.
"currently the msbuild log for team build be appalling as they be just plain text and be very difficult to read . also the one create by my build be approx 30mb and take quite a while to download ( our TFS server be in our datacentre ) . do anyone know any way of be able to view these log easy , prefereably integrate with either TFS itself or TFS WebAccess ?",negative,neutral,"currently the msbuild log for team build be appalling as they be just plain text and be very difficult to read . also the one create by my build be approx 30mb and take quite a while to download ( our TFS server be in our datacentre ) . do anyone know any way of be able to view these log easy , prefereably integrate with either TFS itself or TFS WebAccess ?",negative,"Currently the msbuild logs for team build are appalling as they are just plain text and are very difficult to read. Also the ones created by my build are approx 30Mb and take quite a while to download (our TFS server is in our datacentre). Does anyone know any way of being able to view these logs easier, prefereably integrated with either TFS itself or TFS WebAccess?"
< @user > when downvote someone you be suggest to explain why ...,negative,neutral,< @user > when downvote someone you be suggest to explain why ...,negative,@sjdowling when downvoting someone you are suggested to explain why...
work for I on Win 7,neutral,positive,work for I on Win 7,neutral,Works for me on Win 7
"make a canvas path glow by apply a series of overlap shadow with increase blurA Demo : < link > can change the styling of the glow by vary the number of overlay and the blur size . example code for a glow effect : to get the outline path of your phone image , you can use the "" marching ant "" algorithm . this algorithm will create a path that outline an image . in your case you would define the image as all pixel that be not transparent . here be a very good implementation of "" march ant "" that be use in the excellent d3 library:<link > use like this : drawimage your phone on the canvas . get the pixel color array from the canvas use ctx.getImageData Define a function that check the pixel array for non - transparent pixel at any x , y on the canvas . call the contour function : here be an example result : the glow be automatically generate use overlap shadowsthe outline path of the phone be calculate use the marching ant algorithm",neutral,positive,"make a canvas path glow by apply a series of overlap shadow with increase blurA Demo : < link > can change the styling of the glow by vary the number of overlay and the blur size . example code for a glow effect : to get the outline path of your phone image , you can use the "" marching ant "" algorithm . this algorithm will create a path that outline an image . in your case you would define the image as all pixel that be not transparent . here be a very good implementation of "" march ant "" that be use in the excellent d3 library:<link > use like this : drawimage your phone on the canvas . get the pixel color array from the canvas use ctx.getImageData Define a function that check the pixel array for non - transparent pixel at any x , y on the canvas . call the contour function : here be an example result : the glow be automatically generate use overlap shadowsthe outline path of the phone be calculate use the marching ant algorithm",neutral,"Make a canvas path glow by applying a series of overlapping shadows with increasing blurA Demo: http://jsfiddle.net/m1erickson/Z3Lx2/You can change the styling of the glow by varying the number of overlays and the blur size.Example code for a glow effect: To get the outline path of your phone image, you can use the ""marching ants"" algorithm.This algorithm will create a path that outlines an image. In your case you would define the image as all pixels that are not transparent.Here's a very good implementation of ""marching ants"" that is used in the excellent d3 library:https://github.com/d3/d3-plugins/blob/master/geom/contour/contour.jsIt's used like this:DrawImage your phone on the canvas. Get the pixel color array from the canvas using ctx.getImageData Define a function that checks the pixel array for non-transparent pixels at any x,y on the canvas. Call the contour function: Here's an example result:the glow is automatically generated using overlapping shadowsthe outline path of the phone is calculated using the marching ants algorithm"
"I want an simple IDE / editor for C in Linux to which I can add feature easily . for example : I want to add a right click menu item and a related action for the editor . it should be easy to extent and add any desirable functionality . I try eclipse CDT but its to much of learning(I mean know the eclipse plug - in architecture and the CDT extension point and stuff ) to do for the small modification / s I want to do . thank , Sachin",neutral,positive,"I want an simple IDE / editor for C in Linux to which I can add feature easily . for example : I want to add a right click menu item and a related action for the editor . it should be easy to extent and add any desirable functionality . I try eclipse CDT but its to much of learning(I mean know the eclipse plug - in architecture and the CDT extension point and stuff ) to do for the small modification / s I want to do . thank , Sachin",neutral,"I want an simple IDE/editor for C in Linux to which I can add features easily. For example: I want to add a right click menu item and a related action for the editor. It should be easy to extent and add any desirable functionality. I tried eclipse CDT but its to much of learning(I mean knowing the eclipse plug-in architecture and the CDT extension points and stuff) to do for the small modification/s I want to do. Thanks, Sachin"
"be there a way to aid gmail in make thread ? we be currently use same subject to do this , but that really uglyfie the subject a lot .",negative,neutral,"be there a way to aid gmail in make thread ? we be currently use same subject to do this , but that really uglyfie the subject a lot .",negative,"Is there a way to aid gmail in making threads? We are currently using same Subjects to do this, but that really uglyfies the subject a lot."
"if I start a process with exec ( ) , how can I later terminate that process , with say press / send the "" q "" key . instead of use , you could look at use , which require that you pass in an array specify three -- one for , one for and one for . this will let you easily feed input into the program while process output , without block just wait for it to execute . you can later use to viciously murder it , if need .",neutral,negative,"if I start a process with exec ( ) , how can I later terminate that process , with say press / send the "" q "" key . instead of use , you could look at use , which require that you pass in an array specify three -- one for , one for and one for . this will let you easily feed input into the program while process output , without block just wait for it to execute . you can later use to viciously murder it , if need .",neutral,"If I start a process with exec(), how can I later terminate that process, with say pressing/sending the ""q"" key. Instead of using , you could look at using , which requires that you pass in an array specifying three -- one for , one for and one for . This will let you easily feed input into the program while processing output, without blocking just waiting for it to execute. You can later use to viciously murder it, if needed."
shameeeee on I ! ! !,negative,positive,shameeeee on I ! ! !,negative,Shameeeee on me!!!
< @user>-vic no worry !,neutral,positive,< @user>-vic no worry !,neutral,@Ad-vic No worries!
can talk a bit more about the not so normal .net experience ? I be think to go for Mosso ...,negative,neutral,can talk a bit more about the not so normal .net experience ? I be think to go for Mosso ...,negative,can talk a bit more about the not so normal .net experience? I was thinking to go for Mosso...
-5 vote ? ? People who have downvote this answer should have specify the reason for do so as well .,negative,neutral,-5 vote ? ? People who have downvote this answer should have specify the reason for do so as well .,negative,-5 votes?? People who have downvoted this answer should have specified the reason for doing so as well.
it appear that Microsoft be aware of this issue and they have ... I do not know if this be address in IE8 B2 ... you might try it and see . good luck !,neutral,positive,it appear that Microsoft be aware of this issue and they have ... I do not know if this be address in IE8 B2 ... you might try it and see . good luck !,neutral,It appears that Microsoft is aware of this issue and they have ... I don't know if this was addressed in IE8 B2... you might try it and see. Good luck!
"he hate p tag , clearly ;)",neutral,negative,"he hate p tag , clearly ;)",neutral,"he hates p tags, clearly ;)"
pragmatic approach : see other answer for excellent backgrounder !,neutral,positive,pragmatic approach : see other answer for excellent backgrounder !,neutral,Pragmatic approach: See other answers for excellent backgrounders!
you have to use symlink instead of an alias ... sad there be no ui for that ! you have to go into the Terminal and type : the first PATH be the base path of the original file and the second be for the base path for the symlink of the file / folder etc,neutral,negative,you have to use symlink instead of an alias ... sad there be no ui for that ! you have to go into the Terminal and type : the first PATH be the base path of the original file and the second be for the base path for the symlink of the file / folder etc,neutral,you have to use symlinks instead of an alias... sad there is no ui for that! you have to go into the Terminal and type: the first PATH is the base path of the original file and the second is for the base path for the symlink of the file/folder etc
"there be an excellent example of how to implement your own two - dimensional ArrayList and ( re- ) use it in your specific case : no need to reinvent the wheel , go for it !",neutral,positive,"there be an excellent example of how to implement your own two - dimensional ArrayList and ( re- ) use it in your specific case : no need to reinvent the wheel , go for it !",neutral,"There is an excellent example of how to implement your own two-dimensional ArrayList and (re-) use it in your specific case: No need to reinvent the wheel, go for it!"
I do not know that . I always think it be AND .,negative,neutral,I do not know that . I always think it be AND .,negative,I didn't know that. I always thought it was AND.
"with the interoperability approach ( wsdl - first ) , be you still hand code the wsdl ? if so , be you still run into the same pain point you have describe ? or have you have you find a well solution ?",neutral,negative,"with the interoperability approach ( wsdl - first ) , be you still hand code the wsdl ? if so , be you still run into the same pain point you have describe ? or have you have you find a well solution ?",neutral,"with the interoperability approach (wsdl-first), are you still hand coding the wsdl? If so, are you still running into the same pain points you've described? Or have you have you found a better solution?"
be this valid ? what I be really worried about be can you specify type and also use def at the same time ?,negative,neutral,be this valid ? what I be really worried about be can you specify type and also use def at the same time ?,negative,Is this valid ? what I'm really worried about is can you specify type and also use def at the same time?
be this valid ? what I be really worried about be can you specify type and also use def at the same time ?,negative,neutral,be this valid ? what I be really worried about be can you specify type and also use def at the same time ?,negative,Is this valid ? what I'm really worried about is can you specify type and also use def at the same time?
"< @user > why , then , do he invoke "" Hoare 's dictum "" ? Knuth 's paper be more about clarity than about optimization . the quote never actually appear in the paper ; rather , he write "" in our previous discussion we conclude that premature emphasis on efficiency be a big mistake which may well be the source of most programming complexity and grief "" .",neutral,negative,"< @user > why , then , do he invoke "" Hoare 's dictum "" ? Knuth 's paper be more about clarity than about optimization . the quote never actually appear in the paper ; rather , he write "" in our previous discussion we conclude that premature emphasis on efficiency be a big mistake which may well be the source of most programming complexity and grief "" .",neutral,"@JonHanna Why, then, did he invoke ""Hoare's dictum""? Knuth's paper was more about clarity than about optimization. The quote never actually appears in the paper; rather, he wrote ""In our previous discussion we concluded that premature emphasis on efficiency is a big mistake which may well be the source of most programming complexity and grief""."
"I have use the ExprTk library in the past , it be easy to use and fast in evaluation . < link >",positive,neutral,"I have use the ExprTk library in the past , it be easy to use and fast in evaluation . < link >",positive,"I've used the ExprTk library in the past, it's easy to use and fast in evaluation. http://www.partow.net/programming/exprtk/index.html"
false & & false = = false I be afraid that you would need to make that the negation of an XOR in order to make it correct .,neutral,negative,false & & false = = false I be afraid that you would need to make that the negation of an XOR in order to make it correct .,neutral,false && false == false I'm afraid that you would need to make that the negation of an XOR in order to make it correct.
instead of load everything which be neither possible nor really desirable I would use a slide window instead - when you reach a certain maximum list size ( say i.e. 300 item ) you automatically remove the top 100 item when you add the next 100 item to the bottom . if you scroll just right after the update this should not even be noticeable by your user .,negative,neutral,instead of load everything which be neither possible nor really desirable I would use a slide window instead - when you reach a certain maximum list size ( say i.e. 300 item ) you automatically remove the top 100 item when you add the next 100 item to the bottom . if you scroll just right after the update this should not even be noticeable by your user .,negative,Instead of loading everything which is neither possible nor really desirable I would use a sliding window instead - when you reach a certain maximum list size (say i.e. 300 items) you automatically remove the top 100 items when you add the next 100 items to the bottom. If you scroll just right after the update this shouldn't even be noticeable by your users.
"if it come with an incredibly annoying sound , then it be a MessageBox . it not , then it be maybe some kind of child window - see",neutral,negative,"if it come with an incredibly annoying sound , then it be a MessageBox . it not , then it be maybe some kind of child window - see",neutral,"If it comes with an incredibly annoying sound, then it's a MessageBox. It not, then it's maybe some kind of child window - see"
"assume we want to validate user input , while user be type in a jtextfield . for validate the user input , I wonder if I could use Ragel . assume the input should follow this example regex : how can I do this with ragel ? can anybody give a short example how to validate user input "" on the fly "" ( while input ) with ragel ? the Ragel documentation miss some good example for a Quick Start , so I ask here .",neutral,positive,"assume we want to validate user input , while user be type in a jtextfield . for validate the user input , I wonder if I could use Ragel . assume the input should follow this example regex : how can I do this with ragel ? can anybody give a short example how to validate user input "" on the fly "" ( while input ) with ragel ? the Ragel documentation miss some good example for a Quick Start , so I ask here .",neutral,"Assume we want to validate user input, while user is typing in a JTextField. For validating the user input, I wonder if I could use Ragel. Assume the input should follow this example regex: How can I do this with ragel? Can anybody give a short example how to validate user input ""on the fly"" (while inputing) with ragel? The Ragel documentations misses some good examples for a Quick Start, so I ask here."
"I do not use IronPython , but what I have read so far about it do not certify the "" incredibly bad python implementation "" [ typo fix ] .",negative,neutral,"I do not use IronPython , but what I have read so far about it do not certify the "" incredibly bad python implementation "" [ typo fix ] .",negative,"I don't use IronPython, but what I've read so far about it does not certify the ""incredibly bad python implementation"" [typo fixed]."
"I assume you be use Ken Reitz 's excellent request library to do the HTTP request ( if not , you really should be!)Most likely , the problem be that request do not add a ' content - type ' header to multi - part upload , and packmgr do not read multi - part body with no ' content - type ' header . so , while a normal ' request ' POST of a multipart - encode file would go something like this : you instead have to use the long form , set an explicit content - type : note that one side - effect of do it this way be that it can not stream the file - the entire package ZIP file will be read into memory .",neutral,positive,"I assume you be use Ken Reitz 's excellent request library to do the HTTP request ( if not , you really should be!)Most likely , the problem be that request do not add a ' content - type ' header to multi - part upload , and packmgr do not read multi - part body with no ' content - type ' header . so , while a normal ' request ' POST of a multipart - encode file would go something like this : you instead have to use the long form , set an explicit content - type : note that one side - effect of do it this way be that it can not stream the file - the entire package ZIP file will be read into memory .",neutral,"I assume you're using Ken Reitz's excellent requests library to do the HTTP requests (if not, you really should be!)Most likely, the problem is that requests doesn't add a 'Content-type' header to multi-part uploads, and packmgr doesn't read multi-part bodies with no 'Content-type' header. So, while a normal 'requests' POST of a multipart-encoded file would go something like this: you instead have to use the longer form, setting an explicit content-type: Note that one side-effect of doing it this way is that it cannot stream the file - the entire package ZIP file will be read into memory."
extremely lousy solution .,negative,neutral,extremely lousy solution .,negative,Extremely lousy solution.
be very afraid ?,neutral,negative,be very afraid ?,neutral,be very afraid?
sound like desirable behaviour to I ! how do you make it do that again ? ! ?,positive,neutral,sound like desirable behaviour to I ! how do you make it do that again ? ! ?,positive,sounds like desirable behaviour to me! How do you make it do that again?!?
"I be look for a simple mode to to obtain automatic fit - to - window effect use a wx.grid . Grid object inside on of my window . by now my 4 column grid have many white space on the right but I find this very ugly , well if all column expand or collapse base on window size change ! be there a way to get this to work ?",neutral,negative,"I be look for a simple mode to to obtain automatic fit - to - window effect use a wx.grid . Grid object inside on of my window . by now my 4 column grid have many white space on the right but I find this very ugly , well if all column expand or collapse base on window size change ! be there a way to get this to work ?",neutral,"I am looking for a simple mode to to obtain automatic fit-to-window effect using a wx.grid.Grid object inside on of my window. By now my 4 column grid has many white space on the right but I find this very ugly, better if all column expand or collapse based on window size change! Is there a way to get this to works?"
"try this , you will avoid the much dread IN operator with subquerie ( they can sometimes be inefficient , to say the least ) !",neutral,negative,"try this , you will avoid the much dread IN operator with subquerie ( they can sometimes be inefficient , to say the least ) !",neutral,"Try this, you will avoid the much dreaded IN operator with subqueries (they can sometimes be inefficient, to say the least)!"
"there be some debate over that FAQ entry . yes , by all mean , answer your own question . but if you routinely have a set of pre - baked question and answer , then this site just become a blog , rather than an exchange . you have the misfortune of pick a day when someone abuse the spirit of that FAQ .",negative,positive,"there be some debate over that FAQ entry . yes , by all mean , answer your own question . but if you routinely have a set of pre - baked question and answer , then this site just become a blog , rather than an exchange . you have the misfortune of pick a day when someone abuse the spirit of that FAQ .",negative,"There's some debate over that FAQ entry. Yes, by all means, answer your own question. But if you routinely have a set of pre-baked questions and answers, then this site just becomes a blog, rather than an exchange. You have the misfortune of picking a day when someone abused the spirit of that FAQ."
"yes , GridBagLayout be really painful . but it be still powerful . in many case , you can not escape from it . let check this tiny utility to see it it ease your pain",neutral,negative,"yes , GridBagLayout be really painful . but it be still powerful . in many case , you can not escape from it . let check this tiny utility to see it it ease your pain",neutral,"Yes, GridBagLayout is really painful. But it's still powerful. In many cases, you cannot escape from it. Lets check this tiny utility to see it it ease your pain"
"be there a keyboard shortcut or macro to collapse all region in Visual Studio 's toolbox ? ( fail either of those , I will take an addin that allow this ! )",neutral,positive,"be there a keyboard shortcut or macro to collapse all region in Visual Studio 's toolbox ? ( fail either of those , I will take an addin that allow this ! )",neutral,"Is there a keyboard shortcut or macro to collapse all regions in Visual Studio's toolbox? (Failing either of those, I'll take an addin that allows this!)"
"I have hear rumour that Angry Birds can make you throw little bird on green pig , and that you can not do that in Visual Studio !",neutral,negative,"I have hear rumour that Angry Birds can make you throw little bird on green pig , and that you can not do that in Visual Studio !",neutral,"I've heard rumours that Angry Birds can make you throw little birds on green pigs, and that you cannot do that in Visual Studio!"
the exclamation mark make this question seem really exciting .,neutral,positive,the exclamation mark make this question seem really exciting .,neutral,The exclamation mark makes this question seem really exciting.
I could be miss something ( I be nothing of an expert ) but after follow your step I still have to package all * dll * 's in the * exe * folder . be not it OP 's intention to have everything package into the * exe * file ?,neutral,positive,I could be miss something ( I be nothing of an expert ) but after follow your step I still have to package all * dll * 's in the * exe * folder . be not it OP 's intention to have everything package into the * exe * file ?,neutral,I could be missing something (I'm nothing of an expert) but after following your steps I still have to package all *dll*'s in the *exe* folder. Wasn't it OP's intention to have everything packaged into the *exe* file?
"I be use this installation for a non - networked demo of the application , and I will only have my laptop there . I toy with a virtual machine on my laptop , though I be afraid the speed would hamper my demo .",neutral,negative,"I be use this installation for a non - networked demo of the application , and I will only have my laptop there . I toy with a virtual machine on my laptop , though I be afraid the speed would hamper my demo .",neutral,"I'm using this installation for a non-networked demo of the application, and I'll only have my laptop there. I toyed with a virtual machine on my laptop, though I'm afraid the speed would hamper my demo."
